state	percent	
Alabama	0.172	
Alaska	0.125	
Arizona	0.188	
Arkansas	0.153	
California	0.163	
Colorado	0.123	
Connecticut	0.086	
Delaware	0.122	
D.C.	0.195	
Florida	0.16	
Georgia	0.188	
Hawaii	0.124	
Idaho	0.138	
Illinois	0.141	
Indiana	0.163	
Iowa	0.103	
Kansas	0.145	
Kentucky	0.177	
Louisiana	0.215	
Maine	0.126	
Maryland	0.109	
Massachusetts	0.109	
Michigan	0.157	
Minnesota	0.108	
Mississippi	0.225	
Missouri	0.15	
Montana	0.145	
Nebraska	0.102	
Nevada	0.166	
New Hampshire	0.065	
New Jersey	0.111	
New Mexico	0.183	
New York	0.16	
North Carolina	0.174	
North Dakota	0.126	
Ohio	0.154	
Oklahoma	0.163	
Oregon	0.143	
Pennsylvania	0.122	
Rhode Island	0.14	
South Carolina	0.169	
South Dakota	0.136	
Tennessee	0.167	
Texas	0.184	
Utah	0.1	
Vermont	0.108	
Virginia	0.107	
Washington	0.116	
West Virginia	0.168	
Wisconsin	0.101	
Wyoming	0.096	
